Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,1.364148,1.4017,1.334259,1.362615,-0.010452,1080397
2002-07-02,1.386372,1.390971,1.356484,1.373344,-0.010535,1016147
2002-07-03,1.371811,1.387139,1.364914,1.373344,-0.010535,980394
2002-07-04,1.379475,1.4017,1.379475,1.381008,-0.010593,972747
2002-07-05,1.388672,1.388672,1.372578,1.377942,-0.01057,974496
2002-07-08,1.394803,1.45458,1.364914,1.438486,-0.011034,1061686
2002-07-09,1.433121,1.440785,1.391737,1.400934,-0.010746,1024719
2002-07-10,1.41013,1.41013,1.387139,1.399401,-0.010735,946638
2002-07-11,1.449215,1.449215,1.372578,1.37641,-0.010558,968220
2002-07-12,1.391737,1.403233,1.379475,1.387139,-0.01064,967763
2002-07-15,1.371811,1.378709,1.353418,1.358783,-0.010423,974157
2002-07-16,1.364148,1.381008,1.364148,1.371045,-0.010517,959138
2002-07-17,1.371811,1.371811,1.356484,1.360316,-0.010435,955902
2002-07-18,1.397102,1.397102,1.364914,1.37641,-0.010558,958081
2002-07-19,1.387139,1.387139,1.35725,1.371045,-0.010517,1022018
2002-07-22,1.34882,1.377176,1.329661,1.338857,-0.01027,959229
2002-07-23,1.302837,1.363381,1.302837,1.338857,-0.01027,950108
2002-07-24,1.325829,1.343455,1.303604,1.303604,-0.01,1004507
2002-07-25,1.341156,1.361848,1.295174,1.315866,-0.010094,929688
2002-07-26,1.283678,1.283678,1.266051,1.275248,-0.009782,934529
2002-07-29,1.295174,1.295174,1.228499,1.243827,-0.009541,955236
2002-07-30,1.295174,1.295174,1.2262,1.230032,-0.009435,972108
2002-07-31,1.249191,1.249191,1.195545,1.218536,-0.009347,961513
2002-08-01,1.2262,1.260687,1.2262,1.233097,-0.009459,953331
2002-08-02,1.2262,1.2262,1.20091,1.220835,-0.009365,939461
2002-08-05,1.28751,1.28751,1.197078,1.218536,-0.009347,982116
2002-08-06,1.2262,1.2262,1.196311,1.201676,-0.009218,971195
2002-08-07,1.241527,1.241527,1.214704,1.223901,-0.009388,966576
2002-08-08,1.249191,1.249191,1.199377,1.205508,-0.009247,971443
2002-08-09,1.210872,1.222368,1.203209,1.214704,-0.009318,918884
2002-08-12,1.219303,1.225434,1.210872,1.220069,-0.009359,489590
2002-08-13,1.221602,1.225434,1.210872,1.215471,-0.009324,384772
2002-08-14,1.223134,1.223134,1.19018,1.203209,-0.00923,482452
2002-08-15,1.203209,1.203209,1.203209,1.203209,-0.00923,0
