,S/No.,Date,Closing Price,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6
1,261,01/01/2019,1281.3,gold dips as renewed risk appetite lifts asian stocks,#N/A,#N/A,#N/A,#N/A,#N/A
2,260,01/02/2019,1285.91,"gold gains on global growth fears, falling asian stocks","gold off 6-1/2 month peak on equity rebound, stronger dollar",gold hits multi-month high as falling equities cement growth fears,"gold hits over 6-month high on falling dollar, equities",#N/A,#N/A
3,259,01/03/2019,1295.26,gold climbs to over 6-month peak on global slowdown fears,gold rises to highest since mid-2018 on global growth woes,gold lifted by signs of ailing global economy,"gold hits over 6-month high on growth fears, stock volatility",#N/A,#N/A
4,258,01/04/2019,1284.89,"gold slides after solid jobs data; palladium crosses key $1,300 mark","gold slips from six-month peak, still on course for weekly gain",gold trims gains as equities recoup on fresh trade talks,#N/A,#N/A,#N/A
5,257,01/07/2019,1288.93,gold holds steady as fed rate pause bets weigh on dollar,"gold gains on dollar weakness, dovish fed; palladium sets new record","gold rises, palladium hits record high as fed shift hopes hurt dollar","gold up as fed stance pricks dollar, stocks rally cap gains",#N/A,#N/A
6,256,01/08/2019,1285.2,gold steady as market awaits news on trade deal,"gold dips as trade hopes lift stocks, palladium hits record","gold dips as dollar gains, trade deal hopes lift stocks","gold falls on improved risk sentiment, dollar recovery",#N/A,#N/A
7,255,01/09/2019,1293,gold prices steady as interest rate outlook pressures dollar,palladium hits record high on china impetus; lower dollar lifts gold,"gold wanes on rising risk appetite, palladium climbs",gold edges lower on improved risk appetite; palladium at record high,#N/A,#N/A
8,254,01/10/2019,1288.05,gold prices inch up as dollar softens on fed rate outlook,gold eases as dollar recovery offsets dovish fed minutes,gold flat as firmer dollar offsets growth concerns,"gold gains as dovish fed, u.s. political impasse drag dollar",#N/A,#N/A
9,253,01/11/2019,1287.52,gold gains as stocks slip; en route to 4th weekly gain,gold set for fourth weekly gain on softening dollar,gold prices rise as fed stance weakens dollar,#N/A,#N/A,#N/A
10,252,01/14/2019,1291.6,gold steady as dollar gains on fears of economic slowdown,gold gains as chinese trade data blow dents risk appetite,gold rises as weak chinese trade data revives growth concerns,"gold rises on fed pause expectation, equity pullback",#N/A,#N/A
11,251,01/15/2019,1289.7,gold prices rise as failed brexit vote drags on dollar,"gold steady on stronger equities, dollar","gold eases as dollar firms, investors brace for brexit vote","gold steady on fed rate pause hopes, stronger equities",#N/A,#N/A
12,250,01/16/2019,1293,"palladium prices hit record on supply deficit, gold firm on rate views","palladium hits peak on deficit, gold gains on fed view",gold steady as firmer dollar counters political uncertainties,"gold rises on failed brexit vote, fed rate hike pause hopes",#N/A,#N/A
13,249,01/17/2019,1292.39,palladium holds near record levels on supply woes; gold steady,"palladium breaks above $1,400/oz on supply deficit, gold eases","palladium soars above $1,400 on tight fundamentals; gold firm",palladium scales new peak on supply deficit; gold steady,#N/A,#N/A
14,248,01/18/2019,1281.63,"gold heads for first weekly loss in five as stocks, dollar gain","gold dips as risk appetite improves; palladium holds above $1,400","palladium stays above $1,400 on supply worries; gold slips",#N/A,#N/A,#N/A
15,247,01/21/2019,1279.85,"gold steady on global growth concerns, but firm dollar dents appeal",gold dips on firm dollar and rise in risk appetite,gold steady as rising risk appetite offsets fed pause views,#N/A,#N/A,#N/A
16,246,01/22/2019,1284.5,"gold firm on fragile risk-sentiment, buoyant dollar caps gains",gold bounces as global growth worries weigh on equities,gold near 3-wk lows as firmer dollar dents safe-haven appeal,#N/A,#N/A,#N/A
17,245,01/23/2019,1283.85,"gold up as growth concerns, u.s. govt shutdown weigh on dollar",gold steadies as stocks pullback dents risk sentiment,gold steady as growth concerns and trade spat weigh on equities,"gold steady as global growth, trade worries lift safe-haven appeal",#N/A,#N/A
18,244,01/24/2019,1281.42,"gold firm on global growth worries, u.s. govt shutdown","gold steadies on u.s. government shutdown, trade jitters","gold dips as dollar, stocks gain; focus on ecb chief speech","gold firm as growth concerns, u.s. govt shutdown drag dollar",#N/A,#N/A
19,243,01/25/2019,1303.24,gold soars to over 7-month high as dollar falls before fed meeting,gold up as dollar eases; global growth concerns lend support,gold rises as u.s. govt shutdown augments global growth concerns,#N/A,#N/A,#N/A
20,242,01/28/2019,1303.96,"gold hits seven-month peak on fed pause views, trade tensions","gold steadies above $1,300/oz; eyes on fed meet, trade talks","gold hovers near $1,300 as investors await fed meet, trade talks",gold firm near 7-month peak on u.s. rate pause hopes,#N/A,#N/A
21,241,01/29/2019,1310.82,"gold holds near 8-month highs on trade concerns, fed rate views",gold hits eight-month peak on u.s.-china trade woes; focus on fed,"gold scales eight-month peak on softer dollar, trade concerns",gold hits over 7-month peak as huawei case sparks risk-off sentiment,#N/A,#N/A
22,240,01/30/2019,1319.33,"gold near 8-month highs on fed rate pause, eyes 4th monthly gain",gold eases off 8-month peak as investors brace for fed,"gold steadies near 8-month peak, focus on fed's policy decision","gold scales 8-month peak on fed rate pause hopes, trade woes",#N/A,#N/A
23,239,01/31/2019,1321.1,gold near 9-month highs on fed; trade optimism caps gains,gold steady after hitting 9-month peak on fed rate freeze; eyes monthly gain,gold eyes 4th month of gains as u.s. fed pauses rate hikes,fed rate pause keeps gold near 8-month highs; eyes 4th monthly gain,#N/A,#N/A
24,238,02/01/2019,1317.65,"gold eases on u.s. jobs data, still on track for weekly gain","gold steadies near 9-month peak, on track for 2nd weekly gain",gold falls on u.s.-china trade optimism but set for second weekly gain,#N/A,#N/A,#N/A
25,237,02/04/2019,1311.8,gold prices near 1-wk lows as investors look to riskier assets,gold slips as dollar gains on robust u.s. data,"gold falls as stocks gain, dollar firms on strong u.s. data",gold prices fall in thin trade as risk-aversion recedes,#N/A,#N/A
26,236,02/05/2019,1315.05,gold prices hold firm as markets wait for trump speech,gold edges higher as market awaits trump address,"gold steadies above one-week low as dollar, stocks gain","gold prices edge up, but improved risk appetite caps gains",#N/A,#N/A
27,235,02/06/2019,1306.71,gold prices hold near 1-week lows on stronger dollar,"gold slips as dollar gains, investors eye trade talks","gold eases on firm dollar, investors await clarity on trade spat",gold steady as trump speech stokes fears of govt shutdown,#N/A,#N/A
